IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码
104.26.15.238,4,4,0.00,504.33,0.00,LHR
104.25.70.239,4,4,0.00,505.05,0.00,LHR
104.17.116.113,4,4,0.00,505.22,0.00,LHR
104.19.137.167,4,4,0.00,505.51,0.00,LHR
104.25.125.214,4,4,0.00,505.89,0.00,LHR
104.17.134.136,4,4,0.00,506.94,0.00,LHR
104.17.156.166,4,4,0.00,506.94,0.00,LHR
104.16.225.176,4,4,0.00,507.90,0.00,LHR
104.25.136.92,4,4,0.00,508.04,0.00,LHR
104.27.7.86,4,4,0.00,509.40,0.00,LHR
104.21.45.9,4,4,0.00,510.51,0.00,LHR
172.64.189.204,4,4,0.00,510.59,0.00,LHR
104.25.164.195,4,4,0.00,511.03,0.00,LHR
104.21.81.187,4,4,0.00,511.91,0.00,LHR
104.19.60.78,4,4,0.00,512.33,0.00,LHR
172.67.159.59,4,4,0.00,512.54,0.00,LHR
104.26.10.143,4,4,0.00,514.30,0.00,LHR
172.64.66.203,4,4,0.00,514.58,0.00,LHR
104.27.40.199,4,4,0.00,514.97,0.00,LHR
104.19.229.221,4,4,0.00,516.69,0.00,LHR
104.18.64.160,4,4,0.00,519.06,0.00,LHR
104.17.183.80,4,4,0.00,521.25,0.00,LHR
172.67.161.169,4,4,0.00,523.75,0.00,LHR
162.159.229.149,4,4,0.00,526.81,0.00,LHR
104.17.238.52,4,4,0.00,527.65,0.00,LHR
104.18.163.112,4,4,0.00,531.10,0.00,LHR
198.41.193.242,4,4,0.00,531.39,0.00,LHR
104.18.40.113,4,4,0.00,540.26,0.00,LHR
104.19.45.232,4,4,0.00,541.11,0.00,LHR
104.25.82.73,4,4,0.00,543.98,0.00,LHR
172.67.244.21,4,4,0.00,544.08,0.00,LHR
104.16.145.105,4,4,0.00,544.82,0.00,LHR
172.67.104.158,4,4,0.00,544.86,0.00,LHR
172.66.201.202,4,4,0.00,545.71,0.00,LHR
104.21.231.19,4,4,0.00,552.47,0.00,LHR
172.66.147.164,4,4,0.00,555.09,0.00,LHR
